CohortMonth,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2024-01,1.0,0.34242232086239693,0.3595434369055168,0.3430564362714014,0.34876347495244137,0.3582752060875079,0.3462270133164236,0.34749524413443245,0.3316423589093215,0.3589093214965124,0.3449587824984147,0.3493975903614458,0.362714013950539,0.3284717818642993,0.34051997463538364,0.34559289790741915,0.37159162967660114
2024-02,1.0,0.3595959595959596,0.3707070707070707,0.35555555555555557,0.35555555555555557,0.35353535353535354,0.3787878787878788,0.34545454545454546,0.3181818181818182,0.3515151515151515,0.3515151515151515,0.3575757575757576,0.3191919191919192,0.3505050505050505,0.32222222222222224,0.32727272727272727,
2024-03,1.0,0.312406576980568,0.351270553064275,0.37070254110612855,0.3183856502242152,0.312406576980568,0.312406576980568,0.3183856502242152,0.3064275037369208,0.3213751868460389,0.34678624813153963,0.2750373692077728,0.33781763826606875,0.3452914798206278,0.312406576980568,,
2024-04,1.0,0.272108843537415,0.31065759637188206,0.31519274376417233,0.29024943310657597,0.31519274376417233,0.3401360544217687,0.29024943310657597,0.29931972789115646,0.31746031746031744,0.2925170068027211,0.31065759637188206,0.30612244897959184,0.31746031746031744,,,
2024-05,1.0,0.2619047619047619,0.35714285714285715,0.29931972789115646,0.2585034013605442,0.2653061224489796,0.272108843537415,0.3469387755102041,0.30272108843537415,0.25510204081632654,0.30272108843537415,0.272108843537415,0.2891156462585034,,,,
2024-06,1.0,0.2584745762711864,0.3093220338983051,0.211864406779661,0.3347457627118644,0.2542372881355932,0.25,0.3135593220338983,0.25,0.2966101694915254,0.288135593220339,0.2288135593220339,,,,,
2024-07,1.0,0.2571428571428571,0.22857142857142856,0.2342857142857143,0.24571428571428572,0.2057142857142857,0.22857142857142856,0.2057142857142857,0.2342857142857143,0.21714285714285714,0.21142857142857144,,,,,,
2024-08,1.0,0.17777777777777778,0.23703703703703705,0.2222222222222222,0.22962962962962963,0.21481481481481482,0.2518518518518518,0.2518518518518518,0.17037037037037037,0.2740740740740741,,,,,,,
2024-09,1.0,0.17,0.19,0.22,0.21,0.2,0.13,0.19,0.19,,,,,,,,
2024-10,1.0,0.25333333333333335,0.32,0.14666666666666667,0.25333333333333335,0.21333333333333335,0.14666666666666667,0.13333333333333333,,,,,,,,,
2024-11,1.0,0.23636363636363636,0.21818181818181817,0.16363636363636364,0.07272727272727272,0.09090909090909091,0.18181818181818182,,,,,,,,,,
2024-12,1.0,0.17857142857142858,0.125,0.16071428571428573,0.08928571428571429,0.21428571428571427,,,,,,,,,,,
2025-01,1.0,0.15,0.15,0.075,0.175,,,,,,,,,,,,
2025-02,1.0,0.16326530612244897,0.10204081632653061,0.10204081632653061,,,,,,,,,,,,,
2025-03,1.0,0.1875,0.16666666666666666,,,,,,,,,,,,,,
2025-04,1.0,0.06896551724137931,,,,,,,,,,,,,,,
2025-05,1.0,,,,,,,,,,,,,,,,
