amfi_code,years,cagr
120505,4.4,0.3280159948038617
120505,4.4,0.3280159948038617
119598,4.4,0.3239808398464554
119598,4.4,0.3239808398464554
149324,4.4,0.3226210752841656
149324,4.4,0.3226210752841656
148569,4.4,0.31924485848158723
148569,4.4,0.31924485848158723
148567,4.4,0.30949920362874206
148567,4.4,0.30949920362874206
120843,4.4,0.30883325525154603
120843,4.4,0.30883325525154603
100033,4.4,0.30099703552874524
100033,4.4,0.30099703552874524
149323,4.4,0.29558105232568344
149323,4.4,0.29558105232568344
119094,4.4,0.28192608222062465
119094,4.4,0.28192608222062465
119551,4.4,0.2578492084946409
119551,4.4,0.2578492084946409
118632,4.4,0.2403119561352478
118632,4.4,0.2403119561352478
101206,4.4,0.23520488754230384
101206,4.4,0.23520488754230384
120504,4.4,0.2327744753273051
120504,4.4,0.2327744753273051
148568,4.4,0.22499840384352243
148568,4.4,0.22499840384352243
119552,4.4,0.21508021785499332
119552,4.4,0.21508021785499332
125497,4.4,0.19003613208378556
125497,4.4,0.19003613208378556
120503,4.4,0.18771330105513617
120503,4.4,0.18771330105513617
102885,4.4,0.18218826089343754
102885,4.4,0.18218826089343754
120506,4.4,0.17072227512921923
120506,4.4,0.17072227512921923
102887,4.4,0.16828673461948984
102887,4.4,0.16828673461948984
118634,4.4,0.16361396476593382
118634,4.4,0.16361396476593382
118633,4.4,0.16262218000296524
118633,4.4,0.16262218000296524
118635,4.4,0.15945481185082522
118635,4.4,0.15945481185082522
120841,4.4,0.13522349085511554
120841,4.4,0.13522349085511554
149322,4.4,0.13383520958789363
149322,4.4,0.13383520958789363
125498,4.4,0.11293660210400969
125498,4.4,0.11293660210400969
101207,4.4,0.07933120999915699
101207,4.4,0.07933120999915699
119093,4.4,0.07891944369437343
119093,4.4,0.07891944369437343
120507,4.4,0.0723241093234459
120507,4.4,0.0723241093234459
120844,4.4,0.0691037983940288
120844,4.4,0.0691037983940288
120842,4.4,0.06696806255006482
120842,4.4,0.06696806255006482
101208,4.4,0.06504429821332125
101208,4.4,0.06504429821332125
119092,4.4,0.0636349475771898
119092,4.4,0.0636349475771898
119120,4.4,0.05885271270380055
119120,4.4,0.05885271270380055
118636,4.4,0.053131554027608274
118636,4.4,0.053131554027608274
100025,4.4,0.04455091155784441
100025,4.4,0.04455091155784441
100016,4.4,0.026352458116335464
100016,4.4,0.026352458116335464
119599,4.4,0.02053064146209893
119599,4.4,0.02053064146209893
119095,4.4,0.015204552427132478
119095,4.4,0.015204552427132478
102886,4.4,0.0117093879842316
102886,4.4,0.0117093879842316
